DHEA,dhea,C0011185
thrombosis embolic deterrent stockings,thrombosis embolic deterrent stockings,C0040053|C0013922|G0000000|C0453908
sDAP,sdap,C1417631
"oxprenolol , disopyramide phosphate",oxprenolol disopyramide phosphate,C0030040|C0012702|C0031603
frusemide,frusemide,C0016860
placebo-control,placebo-control,C1706408
i.v .,NULL,NULL
alternative surgical therapy for attempted salvage,alternative surgical therapy attempted salvage,C1523987|C0543467|C0039798|C1516084|C0085405
First-intron polymorphisms,first-intron polymorphisms,C0205435|C0032529
distributed educational print materials .,distributed educational print materials,C1704711|C0587721|C0033161|C0520510
adjuvant therapy,adjuvant therapy,C0001551|C0039798
novel capsule-type colonic delivery system ( Colon-Targeted Delivery Capsule ),capsule-type colonic delivery system colon-targeted delivery capsule,C0006935|C0009368|C0011209|C0449913|C0009368|C0011209|C0006935
morphine ( EM ),morphine em,C0026549|G0000000
eprinomectin,eprinomectin,C0529813
megestrol acetate-treated,megestrol acetate-treated,C0025175|C0000975
Single negative colposcopy,single negative colposcopy,C0037179|C0205160|C0009417
western medicine group,western medicine,C1705493|C0013227
aquatics programme,aquatics programme,C0884441|C1709697
standard Pritchard regimen of magnesium sulphate,standard pritchard regimen magnesium sulphate,C1442989|G0000000|C0040808|C0024467|C0038720
plasmapheresis in combination with continuous venovenous hemofiltration ( CVVHF ),plasmapheresis combination continuous venovenous hemofiltration cvvhf,C0032134|C0205195|C0549178|C0391895|C0019014|G0000000
no treatment,treatment,C0039798
endocrine treatment ( ET ),endocrine treatment,C0014136|C0039798
multidisciplinary home based care,multidisciplinary based care,C0242479|C1527178|C1947933
coronary arteriography,coronary arteriography,C0018787|C0003844
zuclopenthixol,zuclopenthixol,C0376160
Green banana-supplemented diet,green banana-supplemented diet,C0332583|C0004722|C0012155
mitomycin C ( MMC ),mitomycin mmc,C0002475|C0002475
propranolol-,propranolol-,C0033497
to be switched to receive HFA albuterol in a yearlong safety and efficacy trial,switched receive hfa albuterol yearlong safety efficacy trial,C1707719|C1514756|C0015458|C0001927|G0000000|C0036043|C1280519|C0008976
noninvasive blood pressure measurement,noninvasive blood pressure measurement,C0205303|C0005767|C0033095|C0242485
H ( 2 ) RAs,2 ras,G0000000|C0034678
cisplatin and 5-FU,cisplatin 5-fu,C0008838|C0016360
normal saline infusion,normal saline infusion,C0205307|C0036082|C0574032
low-pass filtered speech test,low-pass filtered speech test,C0205251|C0180860|C0037817|C0022885
surgical intervention plus rtPA,surgical intervention rtpa,C0543467|C0886296|C0032143
individuals informed they are taking an active stimulant ),individuals informed active stimulant,C0027361|C1522154|C0205177|C0002763
WBRT,wbrt,C1520143
DHEA treatment,dhea treatment,C0011185|C0039798
PSK plus 300 mg UFT ( PSK group ),psk 300 uft psk,C0072522|C1442061|G0000000|C0072522
"the intervention condition -- Web-based hypertension feedback , based on the individual patient 's self-report of health variables and previous BP measurements , to prompt them to ask questions during their next physician 's visit about hypertension care",intervention condition -- web-based hypertension feedback based individual patient self-report health variables previous bp measurements prompt questions physician visit hypertension care,C0886296|C0012634|G0000000|C0282111|C0020538|C0015744|C1527178|C0027361|C0030705|C0681906|C0018684|C0439828|C0205156|C0037623|C0242485|C0871157|C1522634|C0031831|C0545082|C0020538|C1947933
TLT with streptokinase preparations,tlt streptokinase preparations,G0000000|C0038418|C1521827
Portex blue line tube,portex blue tube,G0000000|C1260957|C0175730
single,single,C0037179
paroxetine,paroxetine,C0070122
ethinyl-estradiol,ethinyl-estradiol,C0015011
12-wk carotenoid supplementation regime .,12-wk carotenoid supplementation regime,C0450371|C0007271|C0242297|G0000000
Skin incision,skin incision,C0444099|C0184898
11weeks of resistance exercise training,11weeks resistance exercise training,G0000000|C0237834|C0015259|C0040607
placebo mouthwash and 5 mg folate tablets ;,placebo mouthwash 5 folate tablets,C0032042|C0026647|G0000000|C0178638|C0039225
Ropivacaine-clonidine combination,ropivacaine-clonidine combination,C0073571|C0205195
self-management strategies,self-management strategies,C0086969|C0679199
without nurse coaching,nurse coaching,C0028661|C0557773
antibiotic,antibiotic,C0003232
Questionnaire,questionnaire,C0034394
high-dose,high-dose,C0444956
"15,000 IU every other day , subcutaneously",15 000 iu day subcutaneously,C0450371|C1442061|C0049272|C0332173|G0000000
Platinum-based chemotherapy,platinum-based chemotherapy,C0032207|C0013216
Evr monotherapy ( Evr group ),evr monotherapy evr,C0276242|G0000000|C0276242
workplace intervention,workplace intervention,C0162579|C0886296
placebo albuterol aerosol,placebo albuterol aerosol,C0032042|C0001927|C0001712
"practice , no-practice , or control groups",practice no-practice control,C0237607|C0237607|C0243148
carbidopa/levodopa preparation,carbidopa/levodopa preparation,C0353697|C1521827
modified Proprioceptive Neuromuscular Facilitation ( PNF ) stretching,modified proprioceptive neuromuscular facilitation pnf stretching,C0392747|C0033499|C1979768|C0234112|G0000000|C0600080
Intra-arterial chemotherapy,intra-arterial chemotherapy,C0694634|C0013216
aquatic exercise .,aquatic exercise,C0884441|C0015259
breast conservative therapy ( BCT ),breast conservative therapy bct,C0006141|G0000000|C0039798|C0917927
sodium cromoglycate delivered by pressurized aerosol,sodium cromoglycate delivered pressurized aerosol,C0037473|C0010347|C1705822|G0000000|C0001712
iodine dose,iodine dose,C0021966|C0178602
combined stresses ( thermal stress and restricted feeding ),combined stresses thermal stress restricted feeding,C0205195|C0038435|G0000000|C0038435|C0443288|C0204695
delayed reinfusion groups,delayed reinfusion,C0205421|C0854643
biological albumin-glutaraldehyde glue Bioglue,biological albumin-glutaraldehyde glue bioglue,C0005532|C0001924|C0017780|C1175355
vinorelbine,vinorelbine,C0078257
45-degree upright position,45-degree upright position,C0450371|C0522015|C0733755
Physiological pacing,physiological pacing,C0205463|C0562458
Alternating chemotherapy,alternating chemotherapy,C0332270|C0013216
Mallinkrodt Hi-Lo,mallinkrodt hi-lo,G0000000|C0018619
isoflurane group,isoflurane,C0022180
questionnaire,questionnaire,C0034394
explicit questions,explicit questions,G0000000|C1522634
"metronidazole , amoxycillin and omeprazole",metronidazole amoxycillin omeprazole,C0025872|C0002645|C0028978
individual-level responses,individual-level responses,C0027361|C0871261
expert system intervention plus the stimulus control computer,expert system intervention stimulus control computer,G0000000|C0449913|C0886296|C0234402|C0243148|C0009622
polyethylene glycol-electrolyte lavage solution,polyethylene glycol-electrolyte lavage solution,C0032487|C0017945|C0022100|C0037633
xeloda and radiotherapy before operation,xeloda radiotherapy operation,C0724419|C0034619|C0543467
Oral S-adenosylmethionine,oral s-adenosylmethionine,C0442027|C0036002
glimepirede,glimepirede,G0000000
FU/LV,fu/lv,C1880814
vehicle-treated,vehicle-treated,C0042444
decision aid,decision aid,C0679006|C0449435
contralateral eye was fitted with a clear lens made of the same material,contralateral eye fitted lens material,C0441988|C0015392|C0036572|C0023317|C0520510
Family economic empowerment,family economic empowerment,C0015576|C0013556|C0679959
DP valves,dp valves,C1531217|C0184252
NNRTI-based regimen,nnrti-based regimen,C3537104|C0040808
retrobulbar,retrobulbar,C0230065
IFL plus bevacizumab,ifl bevacizumab,C0281534|C0796392
Thermal welding tonsillectomy procedure,thermal welding tonsillectomy procedure,G0000000|C0043106|C0040423|C0184661
twice-daily CR morphine,twice-daily cr morphine,C0585361|C0201975|C0026549
"ABVD ( doxorubicin , bleomycin , vinblastine , and dacarbazine )",abvd doxorubicin bleomycin vinblastine dacarbazine,C0050380|C0013089|C0005740|C0042670|C0010927
periodontal ligament anesthesia ( PLA ),periodontal ligament anesthesia pla,C2960678|C0023685|C0002903|G0000000
pyrethrins,pyrethrins,C0034245
pre-counselling .,pre-counselling,C0332152
fennel extract,fennel extract,C0553175|C2828366
MEG-X30min,meg-x30min,C0024489
cognitive behavioral therapy ( CBT ),cognitive behavioral therapy cbt,C1516691|C0004927|C0039798|C0009244
tinidazole,tinidazole,C0040263
Adrenaline,adrenaline,C0014563
conventional high ligation,conventional ligation,C0439858|C0023690
reading,reading,C0034754
bexarotene combined with psoralen-ultraviolet A ( PUVA ),bexarotene combined psoralen-ultraviolet puva,C0765273|C0205195|C0016072|C0853073
conventional insulin therapy,conventional insulin therapy,C0439858|C0021641|C0039798
slow injection,slow injection,C0439834|C0021485
vitrified with or without cumulus cells,vitrified cumulus cells,G0000000|G0000000|C0007634
Sign Alone,sign,C0311392
FAM,fam,C3541878
0 vs 10 vs 36 Gy of radiation,0 10 36 gy radiation,G0000000|C0450371|C0450371|C0018408|C0034519
chemotherapy-induced,chemotherapy-induced,C0013216
nitric-oxidegenerating gel,nitric-oxidegenerating gel,G0000000|C0017243
everolimus ( Evr ) monotherapy,everolimus evr monotherapy,C0541315|C0276242|G0000000
"diabetes specific formula ( Diason low energy : 313.8 kJ/100 ml ) ,",diabetes specific formula diason low energy 313 8 kj/100,C0011847|C0205369|C0489829|G0000000|C0205251|C0424589|C1442061|G0000000|C0439255
Recatheterization and submaximal exercise thallium-201 single photon emission computed tomography,recatheterization submaximal exercise thallium-201 single photon emission computed tomography,G0000000|G0000000|C0015259|C0039738|C0037179|C0086805|C0233929|C1441526|C0040395
Home based medical care,based medical care,C1527178|C0199168|C1947933
lidocaine without epinephrine and 0.5 % bupivacaine,lidocaine epinephrine 0 5 % bupivacaine,C0023660|C0014563|G0000000|G0000000|G0000000|C0006400
Scaling and root planing ( SRP ),scaling root planing srp,C0237849|C0040452|C0444660|C0074512
mcg/chlormadinone acetate,mcg/chlormadinone acetate,C0439211|C0000975
active acustimulation,active acustimulation,C0205177|C1515885
plasma vitamin D metabolites,plasma vitamin metabolites,C0032105|C0042890|C0870883
topical diclofenac solution,topical diclofenac solution,C0332237|C0012091|C0037633
nocturnal continuous positive airway pressure,nocturnal continuous positive airway pressure,C0240526|C0549178|C0439178|C0178987|C0033095
unopposed estrogen replacement .,unopposed estrogen replacement,G0000000|C0014939|C0035139
room-temperature saline,room-temperature saline,C2348236|C0036082
education control condition,education control condition,C0013621|C0243148|C0012634
C/BPO + laser,c/bpo + laser,G0000000|G0000000|C0023089
low-dose cyclophosphamide-methotrexate-5-fluorouracil ( CMF ) chemotherapy in tamoxifen responders,low-dose cyclophosphamide-methotrexate-5-fluorouracil cmf chemotherapy tamoxifen responders,C0445550|C0055160|C0950521|C0013216|C0039286|G0000000
arthroscopic shoulder surgery,arthroscopic shoulder surgery,C0443142|C0037004|C0038894
lidocaine ointment,lidocaine ointment,C0023660|C0028912
controlled ovarian hyperstimulation ( COH ),controlled ovarian hyperstimulation coh,C2587213|C0205065|G0000000|C0265223
Plasma separation,plasma separation,C0032105|C0036679
low-dose cyclophosphamide,low-dose cyclophosphamide,C0445550|C0010583
hemolytic streptococcus preparation,hemolytic streptococcus preparation,C0312853|C0038402|C1521827
MEDI-545,medi-545,C0591764
systematic relaxation,systematic relaxation,C0220922|C0035028
"In the last week of training the exercise intensity in the group of patients who were trained by the continuous method was at 83 watts , and at 20:121 watts in the group of patients who were trained by interval method ( rest : work each 1:1 min )",week training exercise intensity patients trained continuous method 83 watts 20 121 watts patients trained interval method rest 1 1 min,C0332174|C0040607|C0015259|C0522510|C0030705|C0336809|C0549178|C0025663|C0450371|C0439261|C0450371|C1442061|C0439261|C0030705|C0336809|C1272706|C0025663|C0035253|G0000000|G0000000|C0702093
Coronary-artery bypass grafting ( CABG ),coronary-artery bypass grafting cabg,C0205042|C0741847|C0332835|C0010055
Venofer,venofer,C0529374
mexidor,mexidor,G0000000
Lunar stent from Inflow Dynamics,lunar stent inflow dynamics,C0037125|C0038257|G0000000|C3826426
specialist medical care,specialist medical care,C0087009|C0199168|C1947933
hydrochlorothiazide,hydrochlorothiazide,C0020261
Uncuffed endotracheal tubes,uncuffed endotracheal tubes,G0000000|C0599554|C0175730
standard 14-day therapy,standard 14-day therapy,C1442989|C0450371|C0039798
P and Z infusions,infusions,C0574032
40-50 kg nitrogen,40-50 nitrogen,C0450371|C0028158
abacavir-lamivudine ( ABC/3TC ),abacavir-lamivudine abc/3tc,C1613391|C0152244
ixabepilone,ixabepilone,C1135132
GM-CSF treatment,gm-csf treatment,C0079460|C0039798
serum prostate specific antigen,serum prostate specific antigen,C0229671|C0033572|C0205369|C0003320
ipratropium bromide ( IB ),ipratropium bromide ib,C0027235|C0006222|C2744579
unreamed,unreamed,G0000000
MMC only,mmc,C0002475
gel,gel,C0017243
naproxen,naproxen,C0027396
Transthoracic contrast examinations,transthoracic contrast examinations,C0205503|C0009924|C0031809
high- or low-starch diets,high- low-starch diets,C0205250|C0205251|C0012155
conventional hospital outpatient consultation,conventional hospital outpatient consultation,C0439858|C0019994|C0029921|C0009818
"metallic commissurotomy ( PMMC , n = 51 )",metallic commissurotomy pmmc = 51,C2986473|C0190069|G0000000|G0000000|C0450371
Intrauterine catheter-tip transducers,intrauterine catheter-tip transducers,C0694756|C0444299|C0040661
macular laser grid photocoagulation,macular laser grid photocoagulation,C0332574|C0023089|C1415284|C0023694
trivalent poliovirus vaccines,trivalent poliovirus vaccines,G0000000|C0206435|C0042210
ultrasonographic data collection,ultrasonographic data collection,G0000000|C1511726|C1516698
pemoline,pemoline,C0030800
Chlorhexidine-based solutions,chlorhexidine-based solutions,C0008196|C0037633
FEC,fec,C0060133
P-113,p-113,C0369773
tobramycin aerosols,tobramycin aerosols,C0040341|C0001712
intraumbilical prostaglandin F2 alpha,intraumbilical prostaglandin f2 alpha,G0000000|C0033554|G0000000|C0439095
silane,silane,C0178847
Sildenafil,sildenafil,C0529793
HDCSV,hdcsv,G0000000
external beam radiation therapy ( EBRT ),external beam radiation therapy ebrt,C0205101|C0338248|C0034519|C0039798|C1517033
risk-counseling programs,risk-counseling programs,C0035647|C0376691
prethrombolytic cyclosporine-A injection,prethrombolytic cyclosporine-a injection,G0000000|C0010592|C0021485
brisk walking program,brisk walking program,C0443162|C0080331|C1709697
Primary intracoronary stent placement,primary intracoronary stent placement,C0205225|C0595454|C0038257|C0441587
temporal repetitive transcranial magnetic stimulation,temporal repetitive transcranial magnetic stimulation,C0442043|G0000000|C0442348|C0024488|C1292856
recombinant human G-CSF,recombinant human g-csf,C1514798|C0086418|C0079459
fluorouracil,fluorouracil,C0016360
purified chick embryo cell culture rabies vaccine ( PCECV ),purified chick embryo cell culture rabies vaccine pcecv,C1998793|C3669677|C0013935|C0007634|C0010453|C0034494|C0042210|G0000000
