third stage of labor,stage labor,C0205390|C0022864
non-nephrotic syndrome IgA nephropathy ( IgAN ),non-nephrotic syndrome iga nephropathy igan,C1518422|C0039082|C2825347|C0022658|C3160719
pre-school children,pre-school children,C0424930|C0008059
35 years,35,C0450371
cataract,cataract,C0086543
inflammatory disease,inflammatory disease,C0333348|C0012634
SCT patients,sct patients,C0860888|C0030705
"chronic , stroke-related arm weakness",chronic stroke-related arm weakness,C0205191|C0038454|C0446516|C3714552
acute otitis media in children under 2 years of age .,acute otitis media children 2 age,C0205178|C0029877|C0009458|C0008059|G0000000|C0001779
506 stage III colon cancer,506 stage iii colon cancer,C1442061|C0205390|C0439070|C0009368|C0006826
anterior segment surgery,anterior segment surgery,C0205094|C0441635|C0038894
antenatal DES exposure,antenatal des exposure,C2828394|G0000000|C0274281
15 control,15 control,C0450371|C0243148
low-risk pregnancies,low-risk pregnancies,C3272281|C0032961
cardiovascular risks,cardiovascular risks,C0007226|C0035647
adolescent girls,adolescent girls,C0205653|C0870604
Proteinuria,proteinuria,C0033687
after surgery,surgery,C0038894
[ Metastatic breast cancer,metastatic breast cancer,C0036525|C0006141|C0006826
very-low-birth-weight infants,very-low-birth-weight infants,C0282666|C0021270
lesions,lesions,C0221198
11 female,11 female,C0450371|C0015780
endotoxemia,endotoxemia,C0376618
One hundred twenty-five,twenty-five,C3715062
18 to 55,18 55,C0450371|C0450371
One thousand and nineteen,nineteen,C0450337
children undergoing laparoscopy .,children undergoing laparoscopy,C0008059|G0000000|C0031150
children with autism spectrum disorder ( ASD ),children autism spectrum disorder asd,C0008059|C0004352|C1883073|C0012634|C0003516
young children with autism spectrum disorder .,children autism spectrum disorder,C0008059|C0004352|C1883073|C0012634
postmenopausal women with HR+ breast cancer ineligible for breast-conserving surgery .,postmenopausal women hr+ breast cancer ineligible breast-conserving surgery,C0232970|C0043210|G0000000|C0006141|C0006826|C1512714|C0006141|C0038894
Type 1 diabetes mellitus,type 1 diabetes mellitus,C0332307|G0000000|C0011847|G0000000
laryngectomized patient,laryngectomized patient,G0000000|C0030705
VA,va,C1549054
primary pterygium,primary pterygium,C0205225|C0033999
70-90 years,70-90,C0450371
schizophrenia and schizoaffective disorder,schizophrenia schizoaffective disorder,C0036341|G0000000|C0012634
preschoolers,preschoolers,C0008100
intestinal metaplasia,intestinal metaplasia,C0021853|C0025568
early postinfarction angina,postinfarction angina,G0000000|C0002962
tachycardia,tachycardia,C0039231
tinea pedis,tinea pedis,C0040247|G0000000
13 test,13 test,C0450371|C0022885
18 to 70,18 70,C0450371|C0450371
LAVH,lavh,C0843593
psychotic depression,psychotic depression,C0004936|C0011570
human immunodeficiency virus type-1,human immunodeficiency virus type-1,C0086418|C0021051|C0042776|C0332307
18 to 75,18 75,C0450371|C0450371
18 to 74,18 74,C0450371|C0450371
75 children,75 children,C0450371|C0008059
left auricular reduction and mitral surgery,left auricular reduction mitral surgery,C0205091|C1522191|C0301630|C0746591|C0038894
growth hormone deficiency ( GHD ),growth hormone deficiency ghd,C0018270|C0019932|C0011155|C0271561
cystic fibrosis,cystic fibrosis,C0205207|C0016059
multiple involvement,multiple involvement,C0439064|C1314939
Forty-three female,forty-three female,C3816449|C0015780
atheroma,atheroma,C0264956
"patients who receive their care from free clinics , mobile vans and federally qualified health centers",patients receive care free clinics mobile vans federally qualified health centers,C0030705|C1514756|C1947933|C0332296|C0442592|C0231435|C0557775|G0000000|G0000000|C0018684|C0205099
One hundred three,NULL,NULL
head and neck cancer,head neck cancer,C0018670|C0027530|C0006826
primary idiopathic frozen shoulder,primary idiopathic frozen shoulder,C0205225|C0332240|C0016701|C0037004
at least 18,18,C0450371
central nervous system relapse,central nervous system relapse,C0205099|C0027769|C0449913|C0035020
mean age : 55.8 +/- 11.0 years,age 55 8 +/- 11 0,C0001779|C0450371|G0000000|G0000000|C0450371|G0000000
Pervasive developmental disorders ( PDDs ) .,pervasive developmental disorders pdds,C0205391|C0458003|C0012634|C3826971
and 22,22,C0450371
"severe tantrums , aggression , or self-injurious behavior",severe tantrums aggression self-injurious behavior,C0205082|C0233558|C0001807|C0036588|C0004927
Five,NULL,NULL
Cancer stage III to IV ( M0 ) NPC,cancer stage iii iv m0 npc,C0006826|C0205390|C0439070|C0022326|C0025885|G0000000
acute myocardial infarction :,acute myocardial infarction,C0205178|C0027061|C0021308
31 %,31 %,C0450371|G0000000
acute nonspecific,acute nonspecific,C0205178|C0205370
hyperalgesia,hyperalgesia,C0020429
chronic hepatitis C.,chronic hepatitis,C0205191|C0019158
52 families of children,52 families children,C0450371|C0015576|C0008059
procedures greater than 2 hours in length,procedures 2 hours length,C0025664|G0000000|C0439227|C1444754
Male Sprague-Dawley rats,male sprague-dawley rats,C0086582|C2699239|C0034693
mental health,mental health,C0229992|C0018684
60 +/- 11,60 +/- 11,C0450371|G0000000|C0450371
PNES,pnes,C3489398
Bovine carotid artery heterografts,bovine carotid artery heterografts,C0007452|C0741968|C0003842|C0522537
symptomatic varicose veins due to isolated great saphenous vein ( GSV ) incompetence,symptomatic varicose veins isolated saphenous vein gsv incompetence,C0231220|C0439652|C0042449|C0205409|G0000000|C0042449|G0000000|C0231189
tinnitus,tinnitus,C0040264
chemotherapy-induced painful peripheral neuropathy,chemotherapy-induced painful peripheral neuropathy,C0013216|C0030193|C0205100|C0442874
autistic behavior,autistic behavior,C0004352|C0004927
69.3 +/- 10.8 years,69 3 +/- 10 8,C0450371|G0000000|G0000000|C0450371|G0000000
Forty-three CABG,forty-three cabg,C3816449|C0010055
drug treatments,drug treatments,C0013227|C0087111
26.4,26 4,C0450371|G0000000
men with benign prostatic hyperplasia,benign prostatic hyperplasia,C0205183|C0033572|C0020507
chronic sinusitis,chronic sinusitis,C0205191|C0037199
88 %,88 %,C0450371|G0000000
12 weeks post-natally and HIV-free infant survival,12 weeks post-natally hiv-free infant survival,C0450371|C0439230|C0687676|C0019682|C0021270|C0038952
31 adult asthmatic,31 adult asthmatic,C0450371|C0001675|C0004096
GTR-group or OFD-group,gtr-group ofd-group,C0441833|C1709353
Seven,NULL,NULL
60 HD,60 hd,C0450371|G0000000
19 to 48 years,19 48,C0450371|C0450371
bladder outflow obstruction ( BOO ),bladder outflow obstruction boo,C0005682|G0000000|C0028778|C1412762
macular degeneration,macular degeneration,C0332574|C0011164
age 12-18,age 12-18,C0001779|C0450371
hypertensives,hypertensives,C0857121
chronic low back pain,chronic low pain,C0205191|C0205251|C0030193
Forty-two diabetic,forty-two diabetic,C3816449|C0241863
regional lymph node metastases,regional lymph node metastases,C0205147|C0024202|C0746922|C0027627
venous thromboembolism ( VTE ),venous thromboembolism vte,C0042449|C0040038|C0630906
"unilateral , mobile , unilocular , thin-walled ovarian cysts without internal echoes and greater than 30 mm but not exceeding 60 mm in diameter",unilateral mobile unilocular thin-walled ovarian cysts internal echoes 30 mm exceeding 60 mm diameter,C0205092|C0231435|C0205376|C0205168|C0205065|C0010709|C0205102|C0058928|C0450371|G0000000|G0000000|C0450371|G0000000|C1301886
Young children,children,C0008059
hypothyroidism,hypothyroidism,C0020676
duration of colonoscopy,duration colonoscopy,C0449238|C0009378
Thailand,thailand,C0039725
300 patients who had small-cell lung cancer that was in complete remission,300 patients small-cell lung cancer complete remission,C1442061|C0030705|C0700321|C0024109|C0006826|C0205197|C0544452
19 patients,19 patients,C0450371|C0030705
advanced gastric carcinoma,advanced gastric carcinoma,C0205179|C0038351|C0007097
psychotic features ( MDpsy ),psychotic features mdpsy,C0004936|C1521970|G0000000
older,NULL,NULL
marginal zone B cell lymphoma ( MZBCL ),marginal zone cell lymphoma mzbcl,C0205284|C1710706|C0007634|C0024299|C1367654
2605,2605,G0000000
stapled hemorrhoidopexy,stapled hemorrhoidopexy,C0185012|G0000000
upper-limb motor impairment,upper-limb motor impairment,C1140618|C1513492|C0221099
gastric cancer,gastric cancer,C0038351|C0006826
essential hypertension,essential hypertension,C0205224|C0020538
metabolic syndrome ( MS ),metabolic syndrome ms,C0311400|C0039082|C0039676
MPC .,mpc,C1257975
119 patients,119 patients,C1442061|C0030705
non-Hodgkin 's lymphomas,non-hodgkin lymphomas,C0024305|C0024299
serious infections,infections,C3714514
cardiac catheterization,cardiac catheterization,C0018787|C0007430
atrophic vaginitis,atrophic vaginitis,C0151514|C0042267
colorectal surgery,colorectal surgery,C0555952|C0038894
Twenty boys,twenty boys,C0724000|C0870221
53.2+/-14.2,53 2+/-14 2,C0450371|C0450371|G0000000
Fifty-four,fifty-four,C3816723
excessive uterine bleeding,excessive uterine bleeding,C0442802|C0042149|C0019080
incontinent,incontinent,C0231238
non-obstructive PVT .,non-obstructive pvt,C0205304|G0000000
healthy men,healthy,C3898900
high-functioning autism,high-functioning autism,C0205250|C0004352
acquired immunodeficiency syndrome .,acquired immunodeficiency syndrome,C0439661|C0021051|C0039082
adolescent boys .,adolescent boys,C0205653|C0870221
32 gravid women,32 gravid women,C0450371|C0549206|C0043210
myocardial infarction,myocardial infarction,C0027061|C0021308
cytomegalovirus retinitis in patients with AIDS .,cytomegalovirus retinitis patients aids,C0010825|C0035333|C0030705|C0001175
hypercholesterolemic,hypercholesterolemic,G0000000
schizophrenic,schizophrenic,G0000000
advanced gastric or gastroesophageal cancer ( AGGEC ),advanced gastric gastroesophageal cancer aggec,C0205179|C0038351|C0744316|C0006826|G0000000
6 months,6 months,G0000000|C0439231
schizophrenia,schizophrenia,C0036341
hypercholesterolemia,hypercholesterolemia,C0020443
malignant pleural effusion,malignant pleural effusion,C0205282|C0032225|C0013687
locally advanced lower rectal cancer,locally advanced lower rectal cancer,C1517927|C0205179|C0441994|C0205052|C0006826
addicted to opioids,addicted opioids,C0858354|C0242402
stressed,stressed,C0038435
young healthy men,healthy,C3898900
Fifty-eight patients,fifty-eight patients,C3816723|C0030705
anterior tongue and floor of the mouth cancers,anterior tongue floor mouth cancers,C0205094|C0040408|C0016249|C0226896|C0006826
chronic stroke,chronic stroke,C0205191|C0038454
60 caregiver/patient dyads,60 caregiver/patient dyads,C0450371|C0085537|C0870454
liver cirrhosis,liver cirrhosis,C0023884|C0023890
extrahepatic portal venous obstruction,extrahepatic portal venous obstruction,C1517058|C0205054|C0042449|C0028778
muscle-invasive bladder cancer,muscle-invasive bladder cancer,C0026845|C0005682|C0006826
11 months,11 months,C0450371|C0439231
uncontrolled intra-ocular pressures ( greater than or equal to 22 mm Hg ),uncontrolled intra-ocular pressures equal 22 mm hg,C0205318|C3282905|C0033095|C0205163|C0450371|G0000000|C0025424
allergic rhinitis,allergic rhinitis,C0700624|C0035455
advanced solid tumours,advanced solid tumours,C0205179|C0205208|C0027651
locally-advanced breast cancer,locally-advanced breast cancer,C1517927|C0006141|C0006826
hyperlipidaemia,hyperlipidaemia,C0020473
n=14,n=14,C0369718
n=13,n=13,C0369718
thirty-six stage IV,thirty-six stage iv,C3816446|C0205390|C0022326
radiosensitive,radiosensitive,C0034537
Twenty-two,twenty-two,C0724000
Erythema migrans,erythema migrans,C0041834|G0000000
1312,1312,G0000000
60.0 years,60 0,C0450371|G0000000
frail older adults,frail adults,C0871754|C0001675
overt bleeding,overt bleeding,G0000000|C0019080
2641,2641,G0000000
adults .,adults,C0001675
laryngeal squamous cell carcinomas,laryngeal squamous cell carcinomas,C0023078|C1182670|C0007634|C0007097
persistent corneal epithelial defects .,persistent corneal epithelial defects,C0205322|C0010031|C0221908|C0243067
1319,1319,G0000000
standard transgluteal approach,standard transgluteal approach,C1442989|C0444462|C0449445
active labor,active labor,C0205177|C0022864
chronic recurrent genital herpes with high incidence of relapses,chronic recurrent genital herpes incidence relapses,C0205191|C2945760|C0559522|C0019340|C0021149|C0035020
rectal cancer,rectal cancer,C0205052|C0006826
Six HIV-seropositive,hiv-seropositive,C0019699
One hundred nineteen,nineteen,C0450337
chronic kidney disease ( CKD,chronic kidney disease ckd,C0205191|C0022646|C0012634|C1561643
cervical intraepithelial neoplasia,cervical intraepithelial neoplasia,C0027530|C1512942|C0027651
57.7,57 7,C0450371|G0000000
Two hundred twenty-four,twenty-four,C3715070
2654,2654,G0000000
Twenty six postmenopausal women,twenty postmenopausal women,C0724000|C0232970|C0043210
Chorioptes mite burden,chorioptes mite burden,C0323667|C0026231|C2828008
non-drug-abusing,non-drug-abusing,C1518422
parent,parent,C0030551
unresectable squamous cell cancer of the esophagus,unresectable squamous cell cancer esophagus,C1519810|C1182670|C0007634|C0006826|C0014876
LSCC,lscc,G0000000
7 women,7 women,G0000000|C0043210
all but 1 Hispanic,1 hispanic,G0000000|C0086409
discharging ears,discharging ears,C0012621|C0013443
male and female hemodialysis patients,male female hemodialysis patients,C0086582|C0015780|C0019004|C0030705
168 Holstein steers,168 holstein steers,C1442061|G0000000|C0553654
121 patients,121 patients,C1442061|C0030705
newly diagnosed acromegalic patients with macroadenomas,newly diagnosed acromegalic patients macroadenomas,C0750546|C0011900|G0000000|C0030705|G0000000
adolescents with higher-functioning ASD .,adolescents higher-functioning asd,C0205653|C0205250|C0003516
extensive small cell lung cancer,extensive cell lung cancer,C0205231|C0007634|C0024109|C0006826
16 normally developing,16 developing,C0450371|G0000000
28 women,28 women,C0450371|C0043210
( PCOS ),pcos,C0032460
Some of these women had personal or family histories of hypertension ( 21 % ) .,women personal family histories hypertension 21 %,C0043210|C1519021|C0015576|C0019664|C0020538|C0450371|G0000000
acromegalic patients with macroadenomas,acromegalic patients macroadenomas,G0000000|C0030705|G0000000
sick sinus syndrome,sick sinus syndrome,C0221423|C0016169|C0039082
n=25,n=25,C0369718
285 premenopausal breast cancer,285 premenopausal breast cancer,C1442061|C0279752|C0006141|C0006826
Preschoolers,preschoolers,C0008100
Nineteen,nineteen,C0450337
"24,178",24 178,C0450371|C1442061
182.7 +/- 27.5 kg,182 7 +/- 27 5,C1442061|G0000000|G0000000|C0450371|G0000000
Eight children,children,C0008059
2004 2005,2004 2005,G0000000|G0000000
